id;name;first surname;second surname;phone;email;job;hiring_date;year_salary;sick_leave;status
H61;Jorge;Hernandez;Obtuso;9/22/2015 15:16:13;aqqwr@email.com;Becario;09/10/2016 15:16:13;18000;false;CREATE
H63;Petunia;Hernandez;Isosceles;11/12/2017 15:16:13;aqqwr@email.com;Becario;11/12/2017 15:16:13;18000;false;CREATE
H62;Marisa;Hernandez;Agudo;10/13/2016 15:16:13;aqqwr@email.com;"Beca;rio";10/01/2017 15:16:13;18000;false;CREATE
H21;;;;10/1/2015 15:16:13;;;10/01/2015 15:16:13;;;UPDATE
H43;;;;10/11/2015 15:16:13;;;10/11/2015 15:16:13;;;UPDATE
H23;;;;10/1/2015 15:16:13;;;10/01/2015 15:16:13;;true;UPDATE
H45;;;;10/11/2015 17:16:13;;;10/11/2015 17:16:13;;;UPDATE
H22;;;;10/1/2015 15:16:13;;;10/01/2015 15:16:13;;;UPDATE
H44;;;;10/11/2015 15:16:13;;;10/11/2015 15:16:13;;;UPDATE
H25;;;;10/1/2015 15:16:13;;;10/01/2015 15:16:13;;;UPDATE
H47;;;;10/11/2015 15:16:13;;;10/11/2015 15:16:13;;;UPDATE
H24;;;;10/1/2015 15:16:13;;;10/01/2015 15:16:13;;;UPDATE
H46;;;;10/11/2015 15:16:12;;;10/11/2015 15:16:12;;;UPDATE
H27;;Gómez;;10/11/2015 15:16:13;;;10/11/2015 15:16:13;;true;UPDATE
H49;;;;10/12/2015 15:16:13;;;10/12/2015 15:16:13;;;UPDATE
H26;;Fernández;;011/10/2015 15:16:13:32;;;;;;UPDATE
H29;;;;10/11/2015 15:16:13;;;10/11/2015 15:16:13;;;UPDATE
H50;;;;10/21/2015 15:16:13;;;10/09/2016 15:16:13;;;UPDATE
H52;;;;10/21/2015 15:16:13;ppwqÃ±wkl@email.com;;10/09/2016 15:16:13;;;UPDATE
H51;;;;10/21/2015 15:16:13;;;10/09/2016 15:16:13;;;UPDATE
H10;;;;10/1/2015 15:16:13;;"Abogado; Laboralista";10/01/2015 15:16:13;19000;true;UPDATE
H31;;;;10/11/2015 15:16:13;;"Jefe; Publicidad";10/11/2015 15:16:13;;;UPDATE
H53;;;;10/21/2015 15:16:13;;;10/09/2016 15:16:13;;;UPDATE
H12;;;;10/1/2015 15:16:13;;;10/01/2015 15:16:13;;;UPDATE
H1;;;;10/1/2015 15:16:13;;;10/01/2015 15:16:13;;;UPDATE
H11;;;;10/1/2015 15:16:13;;;10/01/2015 15:16:13;;;UPDATE
H33;;;;10/11/2015 11:16:13;;;10/11/2015 11:16:13;;true;UPDATE
H2;;;;10/1/2015 15:16:13;;;10/01/2015 15:16:13;;;UPDATE
H36;;;;10/11/2015 15:16:13;;;10/11/2015 15:16:13;;;UPDATE
H3;;;;10/1/2015 15:16:13;;;10/01/2015 15:16:13;;;UPDATE
H4;;;;10/1/2015 15:16:13;;;10/01/2015 15:16:13;;;UPDATE
H16;María;Garcia;Garcia;10/1/2015 15:16:13;iiu@email.com;"Inspector;calidad";10/01/2015 15:16:13;18000;false;CREATE
H38;;;López;10/11/2015 15:16:13;;;10/11/2015 15:16:13;;;UPDATE
H5;;;;10/1/2015 15:16:13;;;10/01/2015 15:16:13;;;UPDATE
H37;;;;10/11/2015 15:16:13;;;10/11/2015 15:16:13;;;UPDATE
H18;;;;10/1/2015 15:16:13;;"Responsable;Tienda";10/01/2015 15:16:13;;;UPDATE
H7;;;;10/1/2015 18:16:13;;;10/01/2015 18:16:13;;true;UPDATE
H8;;;;10/1/2015 15:16:13;;;10/01/2015 15:16:13;;;UPDATE
H9;;;;10/1/2015 15:16:13;;;10/01/2015 15:16:13;;;UPDATE
H19;;;;10/1/2015 15:16:13; jhgfg@email.com;;10/01/2015 15:16:13;;;UPDATE
H14;�lvaro;Turdasan;Garcia;01/10/2015 15:16:13;hjgfcv@email.com;Responsable Tienda;01/10/2015 15:16:13;18000;false;DELETE
H13;Javier;Serrano;Perez;01/10/2015 15:16:13;iuyfc@email.com;Gerente Tienda;01/10/2015 15:16:13;18000;false;DELETE
H35;Pablo;D�az;Salinas;11/10/2015 15:16:13;pdiazs@email.com;Analista;11/10/2015 15:16:13;18000;false;DELETE
H15;Andr�s;Casillas;Perez;01/10/2015 15:16:13;ggtr@email.com;Gerente;01/10/2015 15:16:13;18000;false;DELETE
H6;Paula;Campos;Fernandez;01/10/2015 15:16:13;opi9uiyh@email.com;Comercial;01/10/2015 15:16:13;18000;false;DELETE
H17;Nerea;Garcia;Martinez;01/10/2015 15:16:13;hgf@email.com;Becario;01/10/2015 15:16:13;18000;false;DELETE
